worker_id,name,city,zone_id,registration_date,weeks_active,is_eligible,worker_type,platforms,n_platforms,hours_per_day,active_days_per_week,weekly_earnings_avg,loyalty_weeks,loyalty_discount,autopay_enabled,autopay_discount,multi_platform_score,hist_claim_count,zone_risk_score
W000031,Rohit Joshi,Bengaluru,Z0055,2025-06-03,30,True,part_time,Zepto,1,3.2,6,1655.04,0,0.0,True,0.05,0.297,1,0.3774
W000032,Ganesh Murugan,Bengaluru,Z0047,2024-10-16,63,True,full_time,Swiggy|Zepto,2,7.3,7,5101.5,1,0.01,True,0.05,0.473,1,0.2883
W000033,Kavitha Nair,Hyderabad,Z0064,2025-06-26,26,True,full_time,Zomato|Zepto|Blinkit|Amazon_Flex,4,8.9,5,4634.63,0,0.0,False,0.0,0.869,1,0.3449
W000034,Rohit Joshi,Mumbai,Z0102,2025-10-26,9,True,full_time,Blinkit|Zomato,2,7.7,5,3463.23,9,0.09,False,0.0,0.475,0,0.5
W000035,Arun Shah,Bengaluru,Z0049,2025-01-28,48,True,full_time,Zepto,1,8.9,7,6238.82,3,0.03,True,0.05,0.265,2,0.373
W000036,Meena Patel,Hyderabad,Z0068,2024-04-22,88,True,full_time,Amazon_Flex|Zomato,2,7.7,3,2041.74,8,0.08,False,0.0,0.446,4,0.3968
W000037,Kiran Gupta,Ahmedabad,Z0088,2025-12-06,3,True,part_time,Zepto,1,4.1,5,1520.17,3,0.03,False,0.0,0.243,1,0.3382
W000038,Kavitha Nair,Kolkata,Z0099,2024-01-03,104,True,full_time,Amazon_Flex|Zomato|Swiggy|Zepto,4,8.0,4,3082.5,5,0.05,False,0.0,0.893,4,0.75
W000039,Ganesh Murugan,Bengaluru,Z0059,2025-09-19,14,True,part_time,Zomato|Amazon_Flex|Blinkit|Zepto,4,3.4,5,1945.83,2,0.02,False,0.0,0.848,1,0.3822
W000040,Ganesh Murugan,Delhi,Z0014,2024-12-21,53,True,part_time,Amazon_Flex,1,3.0,5,1421.46,8,0.08,True,0.05,0.236,3,0.377
W000041,Suresh Reddy,Kolkata,Z0078,2024-02-23,96,True,full_time,Swiggy,1,8.3,5,2785.8,10,0.1,False,0.0,0.222,1,0.425
W000042,Divya Babu,Bengaluru,Z0048,2024-09-19,66,True,full_time,Swiggy|Zomato,2,7.8,5,4403.69,1,0.01,False,0.0,0.44,4,0.31
W000043,Ravi Kumar,Mumbai,Z0042,2025-05-14,33,True,full_time,Blinkit,1,8.5,5,3885.35,3,0.03,False,0.0,0.244,2,0.5489
W000044,Deepa Pillai,Delhi,Z0015,2025-05-02,34,True,full_time,Amazon_Flex|Zepto,2,7.5,4,2027.06,3,0.03,True,0.05,0.5,1,0.3004
W000045,Arjun Singh,Chennai,Z0008,2024-10-02,65,True,super_active,Swiggy|Zomato,2,10.8,5,3731.46,3,0.03,False,0.0,0.48,3,0.5171
W000046,Suresh Reddy,Ahmedabad,Z0094,2025-04-14,37,True,full_time,Blinkit|Zomato|Amazon_Flex|Zepto,4,8.0,3,2308.46,1,0.01,False,0.0,0.878,1,0.3162
W000047,Nisha Krishnan,Kolkata,Z0085,2025-08-26,18,True,full_time,Blinkit,1,7.7,5,3234.49,16,0.15,True,0.05,0.279,1,0.499
W000048,Ganesh Murugan,Delhi,Z0022,2025-12-06,3,True,super_active,Amazon_Flex,1,11.5,6,7111.76,3,0.03,False,0.0,0.23,0,0.4275
W000049,Manoj Iyer,Kolkata,Z0078,2024-05-19,84,True,part_time,Blinkit,1,3.4,7,1606.2,7,0.07,True,0.05,0.29,5,0.425
W000050,Anjali Verma,Pune,Z0070,2024-06-29,78,True,part_time,Swiggy,1,3.2,5,1461.87,16,0.15,True,0.05,0.285,0,0.314
W000051,Arun Shah,Bengaluru,Z0052,2025-08-10,20,True,full_time,Amazon_Flex,1,7.1,5,2193.51,1,0.01,True,0.05,0.21,1,0.3367
W000052,Deepa Pillai,Hyderabad,Z0067,2024-04-12,89,True,part_time,Blinkit|Zomato,2,3.5,6,2084.68,10,0.1,False,0.0,0.44,4,0.3552
W000053,Vijay Das,Delhi,Z0029,2024-03-13,94,True,part_time,Zomato,1,3.8,4,1501.7,1,0.01,True,0.05,0.224,5,0.4182
W000054,Nisha Krishnan,Chennai,Z0003,2025-02-13,45,True,full_time,Zepto,1,7.3,4,2396.07,13,0.13,False,0.0,0.286,2,0.3985
W000055,Deepa Pillai,Delhi,Z0030,2025-08-20,19,True,full_time,Zepto,1,7.9,6,3074.77,8,0.08,False,0.0,0.29,1,0.4862
W000056,Priya Sharma,Chennai,Z0001,2025-06-28,26,True,part_time,Zomato,1,4.5,3,901.41,10,0.1,True,0.05,0.207,0,0.3464
W000057,Ganesh Murugan,Delhi,Z0030,2025-03-16,41,True,full_time,Zomato|Zepto|Swiggy|Blinkit,4,9.0,7,7671.71,6,0.06,False,0.0,0.807,1,0.4862
W000058,Manoj Iyer,Mumbai,Z0031,2025-01-15,50,True,full_time,Amazon_Flex|Blinkit,2,8.2,4,2402.09,7,0.07,False,0.0,0.464,1,0.452
W000059,Sunita Mehta,Pune,Z0070,2025-07-22,23,True,part_time,Swiggy|Blinkit|Zomato|Zepto,4,3.9,7,2481.13,0,0.0,True,0.05,0.86,0,0.314
W000060,Meena Patel,Delhi,Z0025,2025-08-16,19,True,full_time,Zomato,1,7.5,6,3902.21,0,0.0,False,0.0,0.267,0,0.5137
W000061,Sunita Mehta,Kolkata,Z0085,2025-04-29,35,True,full_time,Blinkit|Amazon_Flex|Swiggy,3,7.4,6,3872.79,2,0.02,True,0.05,0.673,0,0.499
W000062,Priya Sharma,Hyderabad,Z0060,2024-10-08,64,True,full_time,Zomato|Zepto,2,8.0,6,4110.41,7,0.07,True,0.05,0.43,5,0.3518
W000063,Meena Patel,Bengaluru,Z0052,2024-03-02,95,True,full_time,Amazon_Flex,1,8.8,4,3388.78,10,0.1,False,0.0,0.261,7,0.3367
W000064,Nisha Krishnan,Mumbai,Z0032,2024-10-07,64,True,full_time,Swiggy|Zepto,2,7.3,6,5470.57,3,0.03,True,0.05,0.472,4,0.4129
W000065,Sunita Mehta,Bengaluru,Z0058,2025-11-10,7,True,part_time,Swiggy,1,3.4,6,1649.06,2,0.02,False,0.0,0.205,0,0.264
W000066,Deepa Pillai,Delhi,Z0024,2025-07-12,24,True,part_time,Amazon_Flex|Blinkit,2,3.6,6,2300.21,24,0.15,True,0.05,0.483,1,0.3698
W000067,Nisha Krishnan,Chennai,Z0010,2025-08-27,18,True,full_time,Blinkit,1,7.4,6,4441.01,4,0.04,False,0.0,0.279,0,0.4639
W000068,Nisha Krishnan,Delhi,Z0013,2025-10-01,13,True,full_time,Zomato,1,8.9,5,4866.1,1,0.01,False,0.0,0.259,0,0.4133
W000069,Kavitha Nair,Chennai,Z0002,2024-06-03,82,True,super_active,Zomato|Swiggy,2,13.5,6,5720.37,5,0.05,True,0.05,0.408,5,0.3082
W000070,Manoj Iyer,Bengaluru,Z0053,2025-06-13,28,True,full_time,Blinkit|Zepto,2,7.9,4,2242.95,0,0.0,True,0.05,0.428,2,0.4124
W000071,Kavitha Nair,Bengaluru,Z0052,2025-05-27,31,True,full_time,Zomato,1,8.7,5,3602.3,11,0.11,True,0.05,0.224,2,0.3367
W000072,Arun Shah,Bengaluru,Z0049,2024-10-18,62,True,full_time,Zomato|Blinkit|Swiggy,3,8.2,7,4365.41,10,0.1,True,0.05,0.634,3,0.373
W000073,Nisha Krishnan,Mumbai,Z0037,2024-03-29,91,True,part_time,Blinkit,1,3.5,5,1285.71,0,0.0,False,0.0,0.254,2,0.5036
W000074,Suresh Reddy,Kolkata,Z0085,2024-07-22,75,True,full_time,Blinkit,1,7.2,5,2961.47,2,0.02,False,0.0,0.211,4,0.499
W000075,Ramesh Sundar,Delhi,Z0025,2025-07-17,23,True,full_time,Amazon_Flex|Swiggy|Zomato,3,8.0,6,5745.78,4,0.04,False,0.0,0.677,0,0.5137
W000076,Priya Sharma,Ahmedabad,Z0095,2025-04-08,38,True,full_time,Zepto,1,7.8,5,2662.59,4,0.04,True,0.05,0.244,0,0.2869
W000077,Priya Sharma,Chennai,Z0096,2025-12-10,3,True,full_time,Amazon_Flex,1,8.2,6,3664.96,1,0.01,False,0.0,0.279,0,0.75
W000078,Ganesh Murugan,Chennai,Z0007,2025-04-03,38,True,super_active,Zepto|Blinkit|Amazon_Flex,3,12.4,3,3219.4,10,0.1,False,0.0,0.631,3,0.4632
W000079,Kavitha Nair,Delhi,Z0021,2025-12-02,4,True,super_active,Zomato|Zepto,2,12.9,5,7632.18,0,0.0,True,0.05,0.482,0,0.4475
W000080,Arjun Singh,Chennai,Z0009,2025-05-05,34,True,part_time,Zepto,1,4.7,6,1939.08,5,0.05,False,0.0,0.246,1,0.4084
W000081,Ramesh Sundar,Kolkata,Z0087,2024-08-29,69,True,full_time,Swiggy|Blinkit|Zomato,3,7.2,6,3438.3,1,0.01,False,0.0,0.644,5,0.4433
W000082,Divya Babu,Mumbai,Z0032,2025-10-13,11,True,full_time,Zepto|Zomato,2,8.4,6,6217.39,0,0.0,True,0.05,0.434,1,0.4129
W000083,Ramesh Sundar,Chennai,Z0011,2024-07-03,78,True,part_time,Blinkit,1,3.6,6,1993.15,2,0.02,False,0.0,0.267,2,0.4109
W000084,Vijay Das,Pune,Z0073,2024-04-15,89,True,full_time,Zepto,1,7.8,5,2261.86,4,0.04,True,0.05,0.297,7,0.244
W000085,Deepa Pillai,Mumbai,Z0034,2024-03-22,92,True,full_time,Swiggy|Amazon_Flex,2,8.7,6,5166.09,0,0.0,True,0.05,0.43,4,0.4701
W000086,Anjali Verma,Mumbai,Z0034,2024-07-22,75,True,full_time,Blinkit|Swiggy|Amazon_Flex,3,8.8,3,2345.31,12,0.12,True,0.05,0.658,3,0.4701
W000087,Arun Shah,Bengaluru,Z0059,2024-02-03,99,True,part_time,Amazon_Flex|Zomato|Blinkit,3,3.2,6,2261.09,4,0.04,True,0.05,0.643,8,0.3822
W000088,Arjun Singh,Kolkata,Z0080,2024-06-26,79,True,part_time,Zepto|Zomato,2,4.6,4,1610.42,33,0.15,True,0.05,0.441,1,0.4549
W000089,Ganesh Murugan,Hyderabad,Z0069,2025-03-31,39,True,part_time,Swiggy,1,3.3,5,1323.09,2,0.02,True,0.05,0.252,0,0.3592
W000090,Lakshmi Rao,Mumbai,Z0034,2025-06-11,29,True,full_time,Swiggy,1,7.6,5,2807.36,4,0.04,True,0.05,0.228,1,0.4701
W000091,Kavitha Nair,Chennai,Z0009,2024-05-26,83,True,full_time,Swiggy|Amazon_Flex|Zepto,3,8.0,7,4053.51,4,0.04,True,0.05,0.691,6,0.4084
W000092,Divya Babu,Bengaluru,Z0057,2025-01-09,50,True,full_time,Zepto|Amazon_Flex,2,7.1,4,2632.42,12,0.12,False,0.0,0.409,3,0.3642
W000093,Ravi Kumar,Bengaluru,Z0104,2025-11-07,7,True,super_active,Zepto,1,11.4,5,3530.57,7,0.07,False,0.0,0.272,0,0.5
W000094,Meena Patel,Kolkata,Z0086,2024-02-09,98,True,full_time,Zepto|Amazon_Flex|Blinkit,3,8.6,5,3475.66,0,0.0,True,0.05,0.691,4,0.4704
W000095,Meena Patel,Delhi,Z0018,2025-09-02,17,True,full_time,Amazon_Flex,1,7.6,6,3862.86,15,0.15,False,0.0,0.243,0,0.4778
W000096,Kiran Gupta,Delhi,Z0014,2025-08-22,18,True,full_time,Zepto|Swiggy,2,7.7,5,2941.77,17,0.15,True,0.05,0.415,0,0.377
W000097,Vijay Das,Mumbai,Z0037,2024-10-25,61,True,full_time,Zepto|Swiggy,2,7.8,6,4706.84,35,0.15,True,0.05,0.469,1,0.5036
W000098,Ganesh Murugan,Delhi,Z0027,2024-10-01,65,True,full_time,Amazon_Flex,1,7.2,7,4100.57,4,0.04,True,0.05,0.215,1,0.4407
W000099,Sunita Mehta,Hyderabad,Z0063,2024-06-17,80,True,super_active,Amazon_Flex|Zomato|Blinkit,3,12.4,6,8427.7,3,0.03,True,0.05,0.615,5,0.4175
W000100,Ravi Kumar,Mumbai,Z0036,2024-06-03,82,True,part_time,Zomato,1,4.0,6,2092.74,1,0.01,False,0.0,0.3,2,0.5307
W000101,Kavitha Nair,Mumbai,Z0043,2025-09-10,16,True,super_active,Swiggy|Amazon_Flex,2,12.5,4,4585.79,6,0.06,True,0.05,0.496,2,0.4982
W000102,Ravi Kumar,Ahmedabad,Z0095,2024-02-26,96,True,full_time,Blinkit|Zepto|Amazon_Flex,3,7.1,5,2090.51,27,0.15,False,0.0,0.651,3,0.2869
W000103,Suresh Reddy,Delhi,Z0015,2024-05-10,85,True,part_time,Zomato,1,4.5,5,2116.13,11,0.11,False,0.0,0.296,1,0.3004
W000104,Nisha Krishnan,Pune,Z0070,2025-01-15,50,True,full_time,Zomato|Amazon_Flex|Blinkit,3,7.1,5,3078.73,7,0.07,False,0.0,0.602,4,0.314
W000105,Suresh Reddy,Delhi,Z0019,2025-05-28,31,True,full_time,Blinkit,1,7.4,3,2499.37,2,0.02,True,0.05,0.274,2,0.3606
W000106,Priya Sharma,Chennai,Z0006,2025-06-13,28,True,full_time,Amazon_Flex|Zepto,2,8.7,3,2246.2,0,0.0,True,0.05,0.441,0,0.4094
W000107,Deepa Pillai,Bengaluru,Z0046,2025-06-13,28,True,full_time,Swiggy,1,7.0,6,3789.96,1,0.01,False,0.0,0.267,0,0.3337
W000108,Sunita Mehta,Kolkata,Z0086,2024-09-23,66,True,full_time,Zomato|Amazon_Flex|Blinkit,3,7.8,5,3053.42,2,0.02,False,0.0,0.698,3,0.4704
W000109,Kavitha Nair,Kolkata,Z0080,2025-11-25,5,True,super_active,Swiggy|Zepto|Zomato,3,12.2,5,4987.12,2,0.02,True,0.05,0.656,0,0.4549
W000110,Vijay Das,Bengaluru,Z0053,2024-09-08,68,True,full_time,Zomato|Swiggy|Amazon_Flex,3,8.8,6,4419.92,4,0.04,True,0.05,0.619,6,0.4124
W000111,Kavitha Nair,Chennai,Z0101,2025-07-14,24,True,super_active,Blinkit|Swiggy|Zepto,3,12.3,6,6849.46,22,0.15,False,0.0,0.612,0,0.5
W000112,Priya Sharma,Chennai,Z0101,2024-03-26,92,True,full_time,Zomato|Blinkit,2,7.5,4,2154.87,1,0.01,False,0.0,0.494,4,0.5
W000113,Manoj Iyer,Hyderabad,Z0061,2024-06-26,79,True,super_active,Swiggy,1,12.5,6,4317.41,6,0.06,True,0.05,0.272,6,0.3633
W000114,Lakshmi Rao,Kolkata,Z0105,2025-03-30,39,True,part_time,Blinkit,1,4.5,6,1917.27,6,0.06,True,0.05,0.204,4,0.5
W000115,Ravi Kumar,Mumbai,Z0040,2024-07-11,76,True,full_time,Swiggy|Zepto,2,7.0,5,3451.37,7,0.07,True,0.05,0.446,6,0.4755
W000116,Arjun Singh,Kolkata,Z0085,2024-08-03,73,True,part_time,Swiggy|Blinkit|Zepto|Amazon_Flex,4,4.5,4,988.32,2,0.02,False,0.0,0.852,2,0.499
W000117,Lakshmi Rao,Kolkata,Z0099,2024-08-21,71,True,full_time,Amazon_Flex,1,8.4,6,3719.54,1,0.01,False,0.0,0.271,3,0.75
W000118,Nisha Krishnan,Kolkata,Z0083,2024-07-20,75,True,super_active,Zepto|Blinkit,2,14.0,5,6662.64,0,0.0,True,0.05,0.423,1,0.4231
W000119,Kiran Gupta,Mumbai,Z0043,2024-11-19,58,True,full_time,Zomato|Zepto,2,9.0,7,5115.69,23,0.15,True,0.05,0.472,1,0.4982
W000120,Priya Sharma,Delhi,Z0023,2025-12-13,2,True,full_time,Zepto|Amazon_Flex,2,7.1,5,3808.69,2,0.02,False,0.0,0.496,0,0.4344
W000121,Vijay Das,Delhi,Z0014,2024-09-28,65,True,full_time,Zepto|Blinkit|Swiggy,3,7.9,4,3105.58,2,0.02,False,0.0,0.62,6,0.377
W000122,Rohit Joshi,Bengaluru,Z0056,2025-02-10,46,True,part_time,Zepto|Zomato,2,3.0,6,1509.5,9,0.09,True,0.05,0.495,4,0.3227
W000123,Kiran Gupta,Pune,Z0074,2024-10-17,62,True,full_time,Swiggy,1,8.1,5,2147.07,3,0.03,False,0.0,0.273,1,0.2021
W000124,Ravi Kumar,Chennai,Z0006,2024-09-23,66,True,super_active,Blinkit,1,10.6,7,7309.1,5,0.05,True,0.05,0.248,1,0.4094
W000125,Manoj Iyer,Hyderabad,Z0067,2024-04-16,89,True,super_active,Zepto,1,13.2,4,4410.39,2,0.02,True,0.05,0.292,2,0.3552
W000126,Arjun Singh,Bengaluru,Z0047,2025-06-08,29,True,part_time,Blinkit,1,4.7,5,1773.62,6,0.06,True,0.05,0.276,0,0.2883
W000127,Divya Babu,Kolkata,Z0086,2025-02-18,45,True,super_active,Amazon_Flex,1,13.1,6,6648.28,2,0.02,True,0.05,0.259,0,0.4704
W000128,Ganesh Murugan,Mumbai,Z0041,2024-08-30,69,True,part_time,Zomato|Amazon_Flex,2,4.9,6,3386.6,3,0.03,False,0.0,0.477,3,0.4673
W000129,Vijay Das,Mumbai,Z0040,2025-03-14,41,True,super_active,Blinkit,1,12.1,5,4280.45,1,0.01,True,0.05,0.201,2,0.4755
W000130,Nisha Krishnan,Bengaluru,Z0052,2025-11-10,7,True,full_time,Amazon_Flex,1,7.8,5,3829.56,7,0.07,True,0.05,0.227,0,0.3367
W000131,Sunita Mehta,Delhi,Z0017,2025-11-01,8,True,full_time,Swiggy,1,8.5,5,3987.23,8,0.08,True,0.05,0.278,0,0.4548
W000132,Rohit Joshi,Kolkata,Z0086,2025-12-08,3,True,full_time,Blinkit|Swiggy|Amazon_Flex|Zepto,4,8.9,4,3181.4,3,0.03,False,0.0,0.817,1,0.4704
W000133,Anjali Verma,Pune,Z0071,2025-09-13,15,True,part_time,Zomato,1,4.6,6,1868.98,8,0.08,True,0.05,0.212,1,0.3685
W000134,Sunita Mehta,Mumbai,Z0037,2025-06-09,29,True,full_time,Swiggy,1,7.3,6,3662.09,0,0.0,False,0.0,0.201,2,0.5036
W000135,Divya Babu,Chennai,Z0101,2025-02-06,46,True,full_time,Zepto,1,8.1,5,2781.25,26,0.15,False,0.0,0.295,3,0.5
W000136,Arun Shah,Kolkata,Z0084,2024-07-22,75,True,super_active,Amazon_Flex|Blinkit,2,11.0,5,4390.34,14,0.14,False,0.0,0.401,1,0.4442
W000137,Kavitha Nair,Bengaluru,Z0057,2025-08-14,19,True,full_time,Swiggy|Blinkit,2,7.8,5,4060.89,3,0.03,True,0.05,0.433,1,0.3642
W000138,Anjali Verma,Kolkata,Z0085,2024-02-08,98,True,super_active,Zomato,1,12.5,4,3455.12,11,0.11,True,0.05,0.228,3,0.499
W000139,Arjun Singh,Hyderabad,Z0066,2025-12-01,4,True,part_time,Zepto|Amazon_Flex,2,4.1,4,1463.66,0,0.0,False,0.0,0.452,0,0.4748
W000140,Deepa Pillai,Kolkata,Z0105,2024-05-11,85,True,full_time,Swiggy|Amazon_Flex,2,8.2,7,3284.55,4,0.04,False,0.0,0.446,2,0.5
W000141,Ravi Kumar,Bengaluru,Z0104,2025-08-06,21,True,full_time,Swiggy|Zepto,2,8.4,5,3366.76,21,0.15,True,0.05,0.415,3,0.5
W000142,Divya Babu,Chennai,Z0006,2024-04-17,89,True,full_time,Swiggy|Blinkit,2,8.3,7,5073.79,22,0.15,True,0.05,0.473,5,0.4094
W000143,Arun Shah,Kolkata,Z0099,2024-07-29,74,True,part_time,Zomato,1,4.6,5,1742.13,9,0.09,True,0.05,0.265,1,0.75
W000144,Rohit Joshi,Bengaluru,Z0054,2024-05-22,84,True,full_time,Zepto|Swiggy|Amazon_Flex,3,7.2,5,3350.15,1,0.01,False,0.0,0.659,4,0.3261
W000145,Deepa Pillai,Hyderabad,Z0064,2024-08-01,73,True,part_time,Blinkit,1,4.2,5,1327.8,7,0.07,True,0.05,0.227,5,0.3449
W000146,Meena Patel,Delhi,Z0019,2025-06-13,28,True,full_time,Zomato,1,8.1,6,3994.79,5,0.05,False,0.0,0.26,0,0.3606
W000147,Kavitha Nair,Bengaluru,Z0100,2025-08-05,21,True,part_time,Blinkit|Swiggy,2,4.0,6,1934.86,1,0.01,True,0.05,0.407,0,0.75
W000148,Priya Sharma,Delhi,Z0103,2024-09-19,66,True,full_time,Zepto|Blinkit,2,7.9,3,2772.6,4,0.04,False,0.0,0.425,1,0.5
W000149,Suresh Reddy,Pune,Z0072,2025-02-10,46,True,part_time,Swiggy|Zomato|Zepto,3,4.6,5,1698.06,18,0.15,True,0.05,0.683,2,0.2807
W000150,Divya Babu,Delhi,Z0103,2025-10-03,12,True,super_active,Blinkit|Amazon_Flex|Swiggy,3,12.4,4,5334.7,1,0.01,False,0.0,0.623,0,0.5
W000151,Sunita Mehta,Kolkata,Z0105,2024-04-11,89,True,super_active,Zepto,1,11.2,5,3786.43,17,0.15,True,0.05,0.263,2,0.5
W000152,Kavitha Nair,Pune,Z0071,2024-02-08,98,True,part_time,Blinkit,1,3.8,7,2072.31,6,0.06,True,0.05,0.243,5,0.3685
W000153,Deepa Pillai,Chennai,Z0096,2025-09-16,15,True,full_time,Blinkit|Zepto|Swiggy,3,8.2,5,2952.25,3,0.03,False,0.0,0.62,0,0.75
W000154,Ganesh Murugan,Kolkata,Z0082,2024-05-23,83,True,full_time,Amazon_Flex,1,7.9,5,3149.6,2,0.02,True,0.05,0.272,7,0.469
W000155,Kiran Gupta,Hyderabad,Z0063,2024-10-15,63,True,full_time,Swiggy,1,7.8,3,1520.35,10,0.1,False,0.0,0.255,4,0.4175
W000156,Kiran Gupta,Bengaluru,Z0057,2025-01-29,48,True,part_time,Zomato|Amazon_Flex|Zepto,3,3.7,5,1729.71,10,0.1,False,0.0,0.671,0,0.3642
W000157,Nisha Krishnan,Mumbai,Z0043,2025-10-17,10,True,full_time,Amazon_Flex,1,8.3,4,2135.9,6,0.06,True,0.05,0.235,1,0.4982
W000158,Suresh Reddy,Chennai,Z0011,2025-05-21,32,True,full_time,Swiggy,1,7.3,6,4054.68,19,0.15,False,0.0,0.26,3,0.4109
W000159,Suresh Reddy,Delhi,Z0030,2024-02-05,99,True,full_time,Blinkit,1,7.8,4,2909.6,6,0.06,False,0.0,0.213,6,0.4862
